,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
0,slave,10,0.0871803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,slave,10,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,slave,10,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,slave,10,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,slave,10,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,slave,10,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,slave,10,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,slave,10,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,slave,10,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,slave,10,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,slave,10,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,slave,10,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,slave,10,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,slave,10,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,slave,10,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,slave,10,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,slave,10,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,slave,10,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,slave,10,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,slave,10,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,slave,10,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,slave,10,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,slave,10,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,slave,10,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,slave,10,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,slave,10,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,slave,10,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,slave,10,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,slave,10,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,slave,10,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,slave,10,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,slave,10,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,slave,10,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,slave,10,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,slave,10,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,slave,10,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,slave,10,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,slave,10,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,slave,10,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,slave,10,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,slave,10,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,slave,10,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,slave,10,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
