,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
6,slave,3,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,slave,3,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,slave,3,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,slave,3,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,slave,3,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,slave,3,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,slave,3,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,slave,3,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,slave,3,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,slave,3,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,slave,3,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,slave,3,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,slave,3,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,slave,3,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,slave,3,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,slave,3,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,slave,3,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,slave,3,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,slave,3,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,slave,3,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,slave,3,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,slave,3,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,slave,3,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,slave,3,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,slave,3,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,slave,3,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,slave,3,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,slave,3,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,slave,3,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,slave,3,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,slave,3,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,slave,3,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,slave,3,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,slave,3,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,slave,3,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,slave,3,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,slave,3,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,slave,3,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,slave,3,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,slave,3,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,slave,3,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,slave,3,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,slave,3,0.518723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,slave,3,0.527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,slave,3,0.536159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,slave,3,0.549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
926,slave,3,0.557954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,slave,3,0.566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,slave,3,0.579749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986,slave,3,0.588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,slave,3,0.597185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,slave,3,0.605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046,slave,3,0.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,slave,3,0.627698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,slave,3,0.636416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,slave,3,0.649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,slave,3,0.658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146,slave,3,0.666929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,slave,3,0.675647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,slave,3,0.688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206,slave,3,0.697442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,slave,3,0.706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,slave,3,0.719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266,slave,3,0.727956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,slave,3,0.736674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,slave,3,0.749751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,slave,3,0.758469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346,slave,3,0.767187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,slave,3,0.775905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1386,slave,3,0.788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
