,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
4,slave,2,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,slave,2,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,slave,2,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,slave,2,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,slave,2,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,slave,2,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,slave,2,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,slave,2,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,slave,2,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,slave,2,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,slave,2,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,slave,2,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,slave,2,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,slave,2,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,slave,2,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,slave,2,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,slave,2,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,slave,2,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,slave,2,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,slave,2,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,slave,2,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,slave,2,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,slave,2,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,slave,2,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,slave,2,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,slave,2,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,slave,2,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,slave,2,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,slave,2,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
