,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
18,slave,9,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,slave,9,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,slave,9,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,slave,9,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,slave,9,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,slave,9,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,slave,9,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,slave,9,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,slave,9,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,slave,9,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,slave,9,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,slave,9,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,slave,9,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,slave,9,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,slave,9,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,slave,9,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,slave,9,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,slave,9,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,slave,9,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,slave,9,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,slave,9,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,slave,9,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,slave,9,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,slave,9,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,slave,9,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,slave,9,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,slave,9,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,slave,9,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,slave,9,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,slave,9,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,slave,9,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,slave,9,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,slave,9,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,slave,9,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,slave,9,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,slave,9,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,slave,9,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,slave,9,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,slave,9,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,slave,9,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,slave,9,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,slave,9,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,slave,9,0.518723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,slave,9,0.527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
898,slave,9,0.536159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,slave,9,0.549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,slave,9,0.557954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,slave,9,0.566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978,slave,9,0.579749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998,slave,9,0.588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018,slave,9,0.597185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038,slave,9,0.605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,slave,9,0.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,slave,9,0.627698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,slave,9,0.636416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1118,slave,9,0.649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1138,slave,9,0.658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,slave,9,0.666929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178,slave,9,0.675647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,slave,9,0.688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1218,slave,9,0.697442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1238,slave,9,0.706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,slave,9,0.719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,slave,9,0.727956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,slave,9,0.736674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,slave,9,0.749751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1338,slave,9,0.758469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1358,slave,9,0.767187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,slave,9,0.775905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1398,slave,9,0.788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1418,slave,9,0.7977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1438,slave,9,0.806417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458,slave,9,0.819493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1478,slave,9,0.828207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1498,slave,9,0.836917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,slave,9,0.849967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538,slave,9,0.85865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558,slave,9,0.867313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1578,slave,9,0.875954,2117.22,105419.0,-4032.4,36.5026,-345358000.0,15198800.0,208896000.0
1598,slave,9,0.888867,8319.54,469577.0,-15273.2,41.8013,-1524200000.0,59000800.0,906518000.0
1618,slave,9,0.897447,-1060.82,779168.0,-19488.5,43.5676,-2499180000.0,22728700.0,1527270000.0
1638,slave,9,0.906013,2135.14,931755.0,-36284.0,46.5113,-3055080000.0,45007000.0,1778580000.0
1658,slave,9,0.918866,12592.6,1028540.0,-56233.6,52.3989,-3456530000.0,98945300.0,1924090000.0
1678,slave,9,0.927447,19272.5,1065820.0,-47203.0,50.6326,-3529030000.0,91734800.0,1971610000.0
1698,slave,9,0.936061,17157.3,1090160.0,-34732.0,51.8101,-3542280000.0,60515100.0,2011930000.0
1718,slave,9,0.949046,13278.7,1067490.0,-14432.1,50.6326,-3370840000.0,3657390.0,1957430000.0
1738,slave,9,0.957715,15112.4,1018820.0,26014.1,51.2214,-3018000000.0,-68205300.0,1819200000.0
1758,slave,9,0.966394,19563.8,964295.0,46337.7,47.6889,-2748370000.0,-101828000.0,1669160000.0
1778,slave,9,0.979421,28011.2,863203.0,101201.0,43.5676,-2162160000.0,-196491000.0,1406250000.0
1798,slave,9,0.988099,31213.0,709967.0,134020.0,40.0351,-1527520000.0,-265872000.0,1118180000.0
1818,slave,9,0.996771,31422.9,536246.0,154676.0,38.8576,-891075000.0,-314803000.0,847974000.0
