,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
14,slave,7,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,slave,7,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,slave,7,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,slave,7,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,slave,7,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,slave,7,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,slave,7,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,slave,7,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,slave,7,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,slave,7,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,slave,7,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,slave,7,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,slave,7,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,slave,7,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,slave,7,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,slave,7,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,slave,7,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,slave,7,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,slave,7,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,slave,7,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,slave,7,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,slave,7,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,slave,7,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,slave,7,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,slave,7,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,slave,7,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,slave,7,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,slave,7,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,slave,7,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,slave,7,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,slave,7,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,slave,7,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,slave,7,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
