,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
10,slave,5,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,slave,5,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,slave,5,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,slave,5,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,slave,5,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,slave,5,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,slave,5,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,slave,5,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,slave,5,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,slave,5,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,slave,5,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,slave,5,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,slave,5,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,slave,5,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,slave,5,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,slave,5,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,slave,5,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,slave,5,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,slave,5,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,slave,5,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,slave,5,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,slave,5,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,slave,5,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,slave,5,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,slave,5,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,slave,5,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,slave,5,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,slave,5,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,slave,5,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,slave,5,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,slave,5,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,slave,5,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,slave,5,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,slave,5,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,slave,5,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,slave,5,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,slave,5,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,slave,5,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,slave,5,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,slave,5,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,slave,5,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,slave,5,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,slave,5,0.518723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,slave,5,0.527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,slave,5,0.536159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,slave,5,0.549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930,slave,5,0.557954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,slave,5,0.566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,slave,5,0.579749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,slave,5,0.588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,slave,5,0.597185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030,slave,5,0.605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,slave,5,0.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,slave,5,0.627698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,slave,5,0.636416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110,slave,5,0.649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,slave,5,0.658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,slave,5,0.666929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,slave,5,0.675647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1190,slave,5,0.688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210,slave,5,0.697442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,slave,5,0.706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,slave,5,0.719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270,slave,5,0.727956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,slave,5,0.736674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,slave,5,0.749751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,slave,5,0.758469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,slave,5,0.767187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1370,slave,5,0.775905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1390,slave,5,0.788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410,slave,5,0.7977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430,slave,5,0.806417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1450,slave,5,0.819493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
