,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
2,slave,1,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,slave,1,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,slave,1,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,slave,1,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,slave,1,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,slave,1,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,slave,1,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,slave,1,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,slave,1,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,slave,1,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,slave,1,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,slave,1,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,slave,1,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,slave,1,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,slave,1,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,slave,1,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,slave,1,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,slave,1,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,slave,1,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,slave,1,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,slave,1,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,slave,1,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,slave,1,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,slave,1,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,slave,1,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,slave,1,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,slave,1,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,slave,1,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,slave,1,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,slave,1,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,slave,1,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,slave,1,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,slave,1,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
