,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
16,slave,8,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,slave,8,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,slave,8,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,slave,8,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,slave,8,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,slave,8,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,slave,8,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,slave,8,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,slave,8,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,slave,8,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,slave,8,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,slave,8,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,slave,8,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,slave,8,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,slave,8,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,slave,8,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,slave,8,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,slave,8,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,slave,8,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,slave,8,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,slave,8,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,slave,8,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,slave,8,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,slave,8,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,slave,8,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,slave,8,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,slave,8,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,slave,8,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,slave,8,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,slave,8,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,slave,8,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,slave,8,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,slave,8,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,slave,8,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,slave,8,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,slave,8,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,slave,8,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,slave,8,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,slave,8,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,slave,8,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
