,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
12,slave,6,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,slave,6,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,slave,6,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,slave,6,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,slave,6,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,slave,6,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,slave,6,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,slave,6,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,slave,6,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,slave,6,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,slave,6,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,slave,6,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,slave,6,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,slave,6,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,slave,6,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,slave,6,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,slave,6,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,slave,6,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,slave,6,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,slave,6,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,slave,6,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,slave,6,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,slave,6,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,slave,6,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,slave,6,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,slave,6,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,slave,6,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,slave,6,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,slave,6,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,slave,6,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,slave,6,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,slave,6,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,slave,6,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,slave,6,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,slave,6,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,slave,6,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,slave,6,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,slave,6,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,slave,6,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,slave,6,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,slave,6,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,slave,6,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
852,slave,6,0.518723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,slave,6,0.527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892,slave,6,0.536159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,slave,6,0.549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932,slave,6,0.557954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,slave,6,0.566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972,slave,6,0.579749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,slave,6,0.588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,slave,6,0.597185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,slave,6,0.605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1052,slave,6,0.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,slave,6,0.627698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,slave,6,0.636416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,slave,6,0.649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132,slave,6,0.658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,slave,6,0.666929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,slave,6,0.675647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192,slave,6,0.688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,slave,6,0.697442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232,slave,6,0.706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,slave,6,0.719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272,slave,6,0.727956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1292,slave,6,0.736674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,slave,6,0.749751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,slave,6,0.758469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,slave,6,0.767187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372,slave,6,0.775905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1392,slave,6,0.788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412,slave,6,0.7977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1432,slave,6,0.806417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452,slave,6,0.819493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472,slave,6,0.828207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,slave,6,0.836917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,slave,6,0.849967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532,slave,6,0.85865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,slave,6,0.867313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572,slave,6,0.875954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592,slave,6,0.888867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1612,slave,6,0.897447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,slave,6,0.906013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1652,slave,6,0.918866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1672,slave,6,0.927447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1692,slave,6,0.936061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712,slave,6,0.949046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732,slave,6,0.957715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,slave,6,0.966394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772,slave,6,0.979421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1792,slave,6,0.988099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1812,slave,6,0.996771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,slave,6,1.00975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,slave,6,1.01838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,slave,6,1.02702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,slave,6,1.03999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,slave,6,1.04867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,slave,6,1.05736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,slave,6,1.06605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,slave,6,1.07905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,slave,6,1.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,slave,6,1.09634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,slave,6,1.10931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,slave,6,1.11798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,slave,6,1.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,slave,6,1.13967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,slave,6,1.14833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,slave,6,1.15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,slave,6,1.1657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,slave,6,1.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,slave,6,1.18738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,slave,6,1.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,slave,6,1.20825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,slave,6,1.21954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,slave,6,1.22999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2292,slave,6,1.23672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2312,slave,6,1.24982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,slave,6,1.2591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352,slave,6,1.26773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2372,slave,6,1.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,slave,6,1.28858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,slave,6,1.29793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,slave,6,1.30867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,slave,6,1.3183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2472,slave,6,1.32999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,slave,6,1.33867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2512,slave,6,1.34845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2532,slave,6,1.35969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2552,slave,6,1.3695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2572,slave,6,1.37758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2592,slave,6,1.38992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2612,slave,6,1.39801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2632,slave,6,1.40976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2652,slave,6,1.41733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2672,slave,6,1.42841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2692,slave,6,1.43934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2712,slave,6,1.44657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2732,slave,6,1.45722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2752,slave,6,1.46753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2772,slave,6,1.4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2792,slave,6,1.48725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2812,slave,6,1.49685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,slave,6,1.50937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2852,slave,6,1.5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2872,slave,6,1.52738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2892,slave,6,1.53898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2912,slave,6,1.54757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2932,slave,6,1.55887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2952,slave,6,1.56988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2972,slave,6,1.57794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2992,slave,6,1.58846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3012,slave,6,1.59884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032,slave,6,1.60908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052,slave,6,1.61913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072,slave,6,1.62891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3092,slave,6,1.63848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3112,slave,6,1.64791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3132,slave,6,1.65961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3152,slave,6,1.66884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3172,slave,6,1.67789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3192,slave,6,1.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3212,slave,6,1.69969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3232,slave,6,1.70825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252,slave,6,1.71888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3272,slave,6,1.72936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3292,slave,6,1.73962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3312,slave,6,1.74968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3332,slave,6,1.75965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3352,slave,6,1.76957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3372,slave,6,1.77941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
